,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
12,0.18334765434265138,0.017313155497989584,0.013550972938537598,0.0015578959271783422,15,18,2,"OrderedDict([('model__max_depth', 15), ('model__min_samples_leaf', 18), ('model__min_samples_split', 2)])",0.6605233194972905,0.6413122982243745,0.6860254165225412,0.7576152282947077,0.35449094892194166,0.4339842398823936,0.3375607128444598,0.6389715880949165,0.6962195506326264,0.3169949119726237,0.5523698214887877,0.16202022845282976,29
13,0.04829907417297363,0.010862370500219553,0.019451165199279787,0.0046448766230006815,1,38,32,"OrderedDict([('model__max_depth', 1), ('model__min_samples_leaf', 38), ('model__min_samples_split', 32)])",0.2972911622276029,0.5186011904761905,0.4307783494753834,0.49003732849071835,0.33175696125907994,0.4993946731234867,0.25786924939467315,0.48287631140528614,0.45814579674906564,0.29271106308253414,0.40594620856840213,0.09477008884657323,48
14,0.14234981536865235,0.004248912721926511,0.01524977684020996,0.0010543196663166884,30,60,2,"OrderedDict([('model__max_depth', 30), ('model__min_samples_leaf', 60), ('model__min_samples_split', 2)])",0.593743694511703,0.5971603683846418,0.6407448042776432,0.6817989377954571,0.36148283465928743,0.5162501441254468,0.3219330104923326,0.667322256742762,0.670884776441983,0.22254941690305732,0.5273870244334314,0.15777312052414894,45
15,0.15274596214294434,0.00607514041385396,0.014952969551086426,0.0008797670964589461,30,36,60,"OrderedDict([('model__max_depth', 30), ('model__min_samples_leaf', 36), ('model__min_samples_split', 60)])",0.625056749394673,0.6796442623659632,0.6778426942811022,0.7596428931742188,0.36210347486452205,0.4667718782428225,0.3052171610169492,0.6812904678283578,0.61536764374803,0.2502336890449818,0.542317091396162,0.17194923562860773,39
16,0.1958463430404663,0.021774720493847446,0.014150047302246093,0.0020746804715873054,30,20,35,"OrderedDict([('model__max_depth', 30), ('model__min_samples_leaf', 20), ('model__min_samples_split', 35)])",0.6489455421999308,0.661087210307852,0.6937000965640493,0.7471679349705984,0.3712437305430647,0.42965777412659983,0.3150618298166724,0.6466972848845063,0.6736962492683147,0.3054284299157999,0.5492686082597389,0.163630232688669,30
17,0.21449623107910157,0.01349246618198608,0.014300060272216798,0.0018593156278699245,13,1,2,"OrderedDict([('model__max_depth', 13), ('model__min_samples_leaf', 1), ('model__min_samples_split', 2)])",0.6006464026288482,0.6091038640032284,0.6523189784388332,0.7145955839963103,0.40444212642684196,0.45841710624927934,0.3748567753372535,0.6331081993786303,0.5992219370525462,0.24403710207573504,0.5290748075587507,0.14227905840344632,44
18,0.20119764804840087,0.015029747834141814,0.016600322723388673,0.0028178225306924997,24,12,2,"OrderedDict([('model__max_depth', 24), ('model__min_samples_leaf', 12), ('model__min_samples_split', 2)])",0.6781976031938199,0.6361625158537991,0.679802800357431,0.7279857387870403,0.3831304767669779,0.5028545846304624,0.40997203966332296,0.6348948624431537,0.6547462740330496,0.29806024584627855,0.5605807141575336,0.14233597459559558,15
19,0.20844786167144774,0.03839834649219329,0.014549803733825684,0.00191742293761058,19,13,2,"OrderedDict([('model__max_depth', 19), ('model__min_samples_leaf', 13), ('model__min_samples_split', 2)])",0.667127868096391,0.6489743672892886,0.6842454672546985,0.7291342384411392,0.38177569756716245,0.45893505707367693,0.39769345238095233,0.6467432122112656,0.6669845558107073,0.30887928317348823,0.5590493199298769,0.14621225718469807,20
20,0.2024972677230835,0.014529062191472741,0.013950204849243164,0.0015728742986920112,20,12,2,"OrderedDict([('model__max_depth', 20), ('model__min_samples_leaf', 12), ('model__min_samples_split', 2)])",0.6755141675314192,0.6338862345785772,0.6870946471809063,0.7281532846189323,0.3695331416464891,0.5112634036665513,0.39930945895307274,0.6395650411995137,0.6596415867441127,0.2943356296996713,0.5598296595819245,0.14647249367867227,19
21,0.18819632530212402,0.015182774480763682,0.015300655364990234,0.0022718642141490823,25,14,60,"OrderedDict([('model__max_depth', 25), ('model__min_samples_leaf', 14), ('model__min_samples_split', 60)])",0.671919138418079,0.6392044635650871,0.7001199844344518,0.7415065072639226,0.3761079643721896,0.4616103856796956,0.3604766588838926,0.673263091539466,0.6771732180647485,0.26006393804313566,0.5561445350264668,0.164637453069102,24
22,0.20464611053466797,0.017520568937891494,0.014650225639343262,0.0021226650225332254,18,12,2,"OrderedDict([('model__max_depth', 18), ('model__min_samples_leaf', 12), ('model__min_samples_split', 2)])",0.6742323518390406,0.6399295947192436,0.7033880289403898,0.7303187694569353,0.3777383834889888,0.5151998299319728,0.3985068603712672,0.6396361835291999,0.6621648881084244,0.3024818767166464,0.5643596767102108,0.14601981671279426,1
23,0.19824798107147218,0.009111441910433052,0.014200139045715331,0.0018864856807348522,17,12,2,"OrderedDict([('model__max_depth', 17), ('model__min_samples_leaf', 12), ('model__min_samples_split', 2)])",0.6743602631730659,0.6359418237634036,0.699605636746224,0.7328148420385103,0.38559231955494067,0.516300588031823,0.40330984088550675,0.6334783196001621,0.6653662929443018,0.29484443243730024,0.5641614359175239,0.14550430786000224,2
24,0.053996157646179196,0.010620812271300116,0.02055051326751709,0.005506609387651589,1,60,37,"OrderedDict([('model__max_depth', 1), ('model__min_samples_leaf', 60), ('model__min_samples_split', 37)])",0.2972911622276029,0.5186011904761905,0.4307783494753834,0.49003732849071835,0.33175696125907994,0.4993946731234867,0.25786924939467315,0.48287631140528614,0.45814579674906564,0.29271106308253414,0.40594620856840213,0.09477008884657323,48
