,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
15,0.3923762559890747,0.0660543627776352,0.017100596427917482,0.0031836779886586274,1.0907475835157696,0.17052412368729153,"{'model__C': 1.0907475835157696, 'model__l1_ratio': 0.17052412368729153}",0.6124016343825667,0.5432034042430531,0.33258568257811605,0.48810604750374725,0.4746357229332411,0.6378758071025019,0.1112486308082555,0.5282344995272187,0.6412121212121211,0.22747534783196,0.45969788981227805,0.1709431275137666,32
16,0.056345152854919436,0.004978420726355284,0.01680026054382324,0.002482148122133627,0.0021147447960615704,0.9488855372533332,"{'model__C': 0.0021147447960615704, 'model__l1_ratio': 0.9488855372533332}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
17,0.616849684715271,0.03739944552375398,0.02254955768585205,0.004991323489482267,67.32248920775338,0.8083973481164611,"{'model__C': 67.32248920775338, 'model__l1_ratio': 0.8083973481164611}",0.5186606422229909,0.5488981609592989,0.4393267900380491,0.5220764153118874,0.4339833390983512,0.43735046984895654,0.18002529401591144,0.4779107569003558,0.6724643162681796,0.27998919357017427,0.45106853782341555,0.1312511264458033,42
18,0.15162997245788573,0.023204395832508638,0.03094968795776367,0.02289948876926749,0.03334792728637585,0.09767211400638387,"{'model__C': 0.03334792728637585, 'model__l1_ratio': 0.09767211400638387}",0.6606728496483338,0.5286791623429032,0.324143534532457,0.5079124870287097,0.3556394485760406,0.5678200305545948,0.08839393808370806,0.5079688414606691,0.570961321986582,0.3168454230267009,0.44290370372406984,0.1607887367500928,47
19,0.6081027746200561,0.03440066441645267,0.025300312042236327,0.005423121237832361,2.6373339933815254,0.4401524937396013,"{'model__C': 2.6373339933815254, 'model__l1_ratio': 0.4401524937396013}",0.5789483166147815,0.5421657010261731,0.37703216879972323,0.5015061109189439,0.4600304104692725,0.6003383344863369,0.1323287789692148,0.5350155342428745,0.664535998919357,0.24070962222522402,0.46326109766719015,0.15874943410533623,25
20,0.08169443607330322,0.011093673988774722,0.020646953582763673,0.004073257196277552,0.00407559644007287,0.4951769101112702,"{'model__C': 0.00407559644007287, 'model__l1_ratio': 0.4951769101112702}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
21,0.0648000717163086,0.009410786412693923,0.024850082397460938,0.0043988579588416735,0.0014857392806279248,0.9093204020787821,"{'model__C': 0.0014857392806279248, 'model__l1_ratio': 0.9093204020787821}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
22,0.09979941844940185,0.012349308086505898,0.017451095581054687,0.0012541408434230963,0.01967432802530612,0.662522284353982,"{'model__C': 0.01967432802530612, 'model__l1_ratio': 0.662522284353982}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
23,0.09714927673339843,0.004980035700872438,0.016950654983520507,0.0014904650615303898,0.03618723330959624,0.5200680211778108,"{'model__C': 0.03618723330959624, 'model__l1_ratio': 0.5200680211778108}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
24,0.25604844093322754,0.05627919294713522,0.015950393676757813,0.0016198680530693367,0.5414413211338525,0.18485445552552704,"{'model__C': 0.5414413211338525, 'model__l1_ratio': 0.18485445552552704}",0.6307271849417733,0.5435366943387525,0.3165138936930704,0.4812024386025597,0.4770840539605673,0.6451091029632192,0.10505664130058803,0.5259615471205368,0.6295537845017785,0.22400468278625785,0.45787500242091034,0.1750582860096933,36
25,0.5748503923416137,0.01974309324694738,0.026197981834411622,0.010760453973964496,70.45683638454501,0.7751328233611146,"{'model__C': 70.45683638454501, 'model__l1_ratio': 0.7751328233611146}",0.5187543237634036,0.5488477170529228,0.43909799089127177,0.5221160498097543,0.43403017986855763,0.4379107575233483,0.17977667762020064,0.47723175289297126,0.672275203746229,0.2799333603494079,0.4509974013518067,0.13126308846576185,43
26,0.5912206888198852,0.01991321199148519,0.02005009651184082,0.0033060033979679607,49.830438374949125,0.8948273504276488,"{'model__C': 49.830438374949125, 'model__l1_ratio': 0.8948273504276488}",0.5183183442868673,0.5489215813444022,0.4394456935316499,0.5220962325608209,0.4336176207771244,0.4369955609362389,0.1805135189669088,0.4766301949660048,0.6724264937637895,0.28008284929533067,0.4509048090429138,0.13109880263441165,44
27,0.5785926103591919,0.026460165546847356,0.022099566459655762,0.002709474989486625,0.9761125443110458,0.9218742350231168,"{'model__C': 0.9761125443110458, 'model__l1_ratio': 0.9218742350231168}",0.577242231638418,0.5390219647180906,0.4071724028594489,0.5023618557592529,0.4191492274876052,0.6132123400207541,0.1530251931280987,0.5327605925525688,0.6548300238641992,0.23768202080237744,0.4636457852830813,0.15378460288102577,23
